Дата создания журнала	Время записи данных в журнал	Показания энкодера	Показания энкодера в градусах 
12.08.2020			
	09:15:46.90	-29546.000000	44.995500
	09:16:02.05	-59665.000000	90.004500
	09:16:17.19	-89659.000000	135.007500
	09:16:21.30	-97810.000000	147.201000
	09:16:21.60	-98293.000000	147.201000
	09:16:21.91	-98895.000000	149.010000
	09:16:22.21	-99618.000000	149.010000
	09:16:22.52	-100105.000000	150.831000
	09:16:22.82	-100724.000000	150.831000
	09:16:23.14	-101319.000000	152.668500
	09:16:23.46	-102060.000000	152.668500
	09:16:23.77	-102803.000000	154.533000
	09:16:24.08	-103408.000000	154.533000
	09:16:24.39	-103929.000000	156.390000
	09:16:24.70	-104538.000000	156.390000
	09:16:25.02	-105037.000000	158.244000
	09:16:25.33	-105777.000000	158.244000
	09:16:25.64	-106407.000000	160.110000
	09:16:25.96	-106908.000000	160.110000
	09:16:26.26	-107520.000000	161.944500
	09:16:26.56	-108218.000000	161.944500
	09:16:26.87	-108834.000000	163.740000
	09:16:27.17	-109424.000000	163.740000
	09:16:27.47	-110022.000000	165.528000
	09:16:27.76	-110619.000000	165.528000
	09:16:28.06	-111208.000000	167.308500
	09:16:28.37	-111700.000000	167.308500
	09:16:28.68	-112424.000000	169.126500
	09:16:28.98	-113017.000000	169.126500
	09:16:29.29	-113630.000000	170.941500
	09:16:29.60	-114250.000000	170.941500
	09:16:29.90	-114837.000000	172.764000
	09:16:30.21	-115456.000000	172.764000
	09:16:30.52	-116057.000000	174.612000
	09:16:30.81	-116659.000000	174.612000
	09:16:31.12	-117258.000000	176.404500
	09:16:31.43	-117850.000000	176.404500
	09:16:31.73	-118359.000000	178.204500
	09:16:32.05	-119076.000000	178.204500
	09:18:44.80	-151725.000000	182.316000
	09:18:45.09	-152205.000000	228.939000
	09:18:45.39	-153005.000000	228.939000
	09:18:45.68	-153587.000000	230.713500
	09:18:45.97	-153958.000000	230.713500
	09:18:46.29	-154659.000000	232.509000
	09:18:46.58	-155268.000000	232.509000
	09:18:46.89	-155754.000000	234.313500
	09:18:47.19	-156361.000000	234.313500
	09:18:47.49	-157177.000000	236.098500
	09:18:47.79	-157663.000000	236.098500
	09:18:48.08	-158138.000000	237.850500
	09:18:48.38	-158839.000000	237.850500
	09:18:48.68	-159300.000000	239.613000
	09:18:48.97	-159895.000000	239.613000
	09:18:49.27	-160586.000000	241.375500
	09:18:49.56	-161165.000000	241.375500
	09:18:49.85	-161855.000000	243.099000
	09:18:50.16	-162224.000000	243.099000
	09:18:50.45	-162820.000000	244.884000
	09:18:50.74	-163509.000000	244.884000
	09:18:51.04	-164101.000000	246.630000
	09:18:51.34	-164684.000000	246.630000
	09:18:51.63	-165163.000000	248.394000
	09:18:51.94	-165757.000000	248.394000
	09:18:52.24	-166362.000000	250.195500
	09:18:52.54	-167072.000000	250.195500
	09:18:52.84	-167544.000000	251.988000
	09:18:53.13	-168348.000000	251.988000
	09:18:53.43	-168723.000000	253.743000
	09:18:53.84	-169320.000000	253.743000
	09:18:54.13	-170116.000000	255.828000
	09:18:54.43	-170812.000000	255.828000
	09:18:54.73	-171495.000000	257.581500
	09:18:55.02	-171874.000000	257.581500
	09:18:55.32	-172462.000000	259.348500
	09:18:55.61	-173054.000000	259.348500
	09:18:55.91	-173762.000000	261.123000
	09:18:56.22	-174241.000000	261.123000
	09:18:56.51	-174940.000000	262.890000
	09:18:56.81	-175532.000000	262.890000
	09:18:57.11	-176126.000000	264.678000
	09:18:57.41	-176717.000000	264.678000
	09:18:57.71	-177304.000000	266.443500
	09:18:58.06	-177902.000000	266.443500
	09:18:58.36	-178599.000000	268.402500
	09:18:58.66	-179185.000000	268.402500
	09:18:58.96	-179902.000000	270.174000
	09:18:59.26	-180386.000000	270.174000
	09:18:59.56	-180871.000000	271.951500
	09:18:59.86	-181455.000000	271.951500
	09:19:00.16	-182166.000000	273.736500
	09:19:00.46	-182643.000000	273.736500
	09:19:00.77	-183240.000000	275.541000
	09:19:01.06	-183947.000000	275.541000
	09:19:01.36	-184428.000000	277.321500
	09:19:01.66	-185142.000000	277.321500
	09:19:01.96	-185619.000000	279.085500
	09:19:02.26	-186206.000000	279.085500
	09:19:02.56	-186918.000000	280.861500
	09:19:02.85	-187392.000000	280.861500
	09:19:03.15	-187979.000000	282.624000
	09:19:03.45	-188564.000000	282.624000
	09:19:03.74	-189149.000000	284.382000
	09:19:04.05	-189861.000000	284.382000
	09:19:04.35	-190347.000000	286.176000
	09:19:04.64	-190941.000000	286.176000
	09:19:04.94	-191530.000000	287.953500
	09:19:05.25	-192128.000000	287.953500
	09:19:05.54	-192837.000000	289.732500
	09:19:05.85	-193416.000000	289.732500
	09:19:06.14	2591.000000	291.505500
	09:19:06.45	-194613.000000	291.505500
	09:19:06.75	-195111.000000	293.307000
	09:19:07.04	-195693.000000	293.307000
	09:19:07.34	-196395.000000	295.069500
	09:19:07.65	-196883.000000	295.069500
	09:19:07.95	-197470.000000	296.883000
	09:19:08.25	-198089.000000	296.883000
	09:19:08.55	-198777.000000	298.665000
	09:19:08.85	-199379.000000	298.665000
	09:19:09.16	-199989.000000	300.471000
	09:19:09.46	-200576.000000	300.471000
	09:19:09.77	-201059.000000	302.286000
	09:19:10.07	-201677.000000	302.286000
	09:19:10.37	-202272.000000	304.072500
	09:19:10.67	-202881.000000	304.072500
	09:19:10.99	-203607.000000	305.913000
	09:19:11.29	-204101.000000	305.913000
	09:19:11.59	-204686.000000	307.696500
	09:19:11.90	-205285.000000	307.696500
	09:19:12.19	-206004.000000	309.501000
	09:19:12.51	-206598.000000	309.501000
	09:19:12.83	-207278.000000	311.403000
	09:19:13.14	-207864.000000	311.403000
	09:19:13.44	-208478.000000	313.206000
	09:19:13.74	-208962.000000	313.206000
	09:19:14.04	-209548.000000	314.992500
	09:19:14.34	-210259.000000	314.992500
	09:19:14.65	-210977.000000	316.797000
	09:19:14.95	-211464.000000	316.797000
	09:19:15.26	-212069.000000	318.601500
	09:19:15.56	-212657.000000	318.601500
	09:19:15.85	-213245.000000	320.341500
	09:19:16.16	-213829.000000	320.341500
	09:19:16.46	-214451.000000	322.164000
	09:19:16.76	-214942.000000	322.164000
	09:19:17.06	-215534.000000	323.952000
	09:19:17.36	-216119.000000	323.952000
	09:19:17.67	-216824.000000	325.753500
	09:19:17.97	-217328.000000	325.753500
	09:19:18.28	-218047.000000	327.574500
	09:19:18.58	-218658.000000	327.574500
	09:19:18.88	-219252.000000	329.364000
	09:19:19.18	-219947.000000	329.364000
	09:19:19.48	-220540.000000	331.137000
	09:19:19.78	-221037.000000	331.137000
	09:19:20.08	-221721.000000	332.929500
	09:19:20.38	-222101.000000	332.929500
	09:19:20.69	-222703.000000	334.725000
	09:19:21.00	-223446.000000	334.725000
	09:19:21.30	-224043.000000	336.559500
	09:19:21.60	-224636.000000	336.559500
	09:19:21.91	-225236.000000	338.359500
	09:19:22.21	-225830.000000	338.359500
	09:19:22.50	-226537.000000	340.129500
	09:19:22.82	-227034.000000	340.129500
	09:19:23.12	-227750.000000	341.970000
	09:19:23.42	-228248.000000	341.970000
	09:19:23.73	-228830.000000	343.759500
	09:19:24.02	-229437.000000	343.759500
	09:19:24.32	-229921.000000	345.535500
	09:19:24.63	-230626.000000	345.535500
	09:19:24.93	-231224.000000	347.329500
	09:19:25.23	-231811.000000	347.329500
	09:19:25.53	-232411.000000	349.116000
	09:19:25.83	-233006.000000	349.116000
	09:19:26.13	-233603.000000	350.905500
	09:19:26.45	-234203.000000	350.905500
	09:19:26.75	-234824.000000	352.731000
	09:19:27.04	-235421.000000	352.731000
	09:19:27.34	-235898.000000	354.510000
	09:19:27.65	-236495.000000	354.510000
	09:19:27.94	-237199.000000	356.286000
	09:19:28.24	-237672.000000	356.286000
	09:19:28.55	-238388.000000	358.096500
	09:19:28.85	-239008.000000	358.096500
	09:19:29.16	-239495.000000	359.859000
	09:19:29.45	-239956.000000	359.859000
	09:19:29.82	-239996.000000	0.000000
	09:19:32.05	-2.000000	359.859000
	09:19:32.35	-593.000000	1.386000
	09:19:32.64	-1191.000000	1.386000
	09:19:32.94	-1769.000000	3.127500
	09:19:33.24	-2458.000000	3.127500
	09:19:33.54	-2966.000000	4.920000
	09:19:33.84	-3427.000000	4.920000
	09:19:34.14	-4136.000000	6.709500
	09:19:34.44	-4737.000000	6.709500
	09:19:34.75	-5327.000000	8.496000
	09:19:35.05	-5934.000000	8.496000
	09:19:35.35	-6531.000000	10.314000
	09:19:35.65	-7135.000000	10.314000
	09:19:35.95	-7716.000000	12.055500
	09:19:36.25	-8191.000000	12.055500
	09:19:36.55	-8813.000000	13.848000
	09:19:36.84	-9380.000000	13.848000
	09:19:37.14	-10091.000000	15.619500
	09:19:37.46	-10573.000000	15.619500
	09:19:37.76	-11299.000000	17.449500
	09:19:38.06	-11904.000000	17.449500
	09:19:38.36	-12385.000000	19.231500
	09:19:38.66	-13199.000000	19.231500
	09:19:38.96	-13694.000000	21.031500
	09:19:39.27	-14278.000000	21.031500
	09:19:39.56	-14883.000000	22.822500
	09:19:39.87	-15462.000000	22.822500
	09:19:40.16	-16078.000000	24.607500
	09:19:40.46	-16550.000000	24.607500
	09:19:40.76	-17141.000000	26.350500
	09:19:41.07	-17970.000000	26.350500
	09:19:41.37	-18543.000000	28.167000
	09:19:41.66	-19053.000000	28.167000
	09:19:41.96	-19625.000000	29.938500
	09:19:42.26	-20217.000000	29.938500
	09:19:42.56	-20701.000000	31.734000
	09:19:42.86	-21408.000000	31.734000
	09:19:43.15	-22009.000000	33.486000
	09:19:43.45	-22573.000000	33.486000
	09:19:43.74	-23255.000000	35.202000
	09:19:44.04	-23628.000000	35.202000
	09:19:44.34	-24342.000000	37.008000
	09:19:44.63	10.000000	37.008000
	09:27:09.94	-27631.000000	41.254500
	09:27:11.11	-30053.000000	44.694000
	09:27:12.26	-32469.000000	48.186000
	09:27:13.42	-34524.000000	51.613500
	09:27:14.57	-36928.000000	55.014000
	09:27:15.71	-39210.000000	58.459500
	09:27:17.16	-41369.000000	61.864500
	09:27:18.17	-44078.000000	66.603000
	09:27:19.44	-46569.000000	70.354500
	09:27:20.59	-48738.000000	73.792500
	09:27:21.73	-51235.000000	77.181000
	09:27:22.99	-53396.000000	80.592000
	09:27:24.13	-55446.000000	82.822500
	09:27:25.40	-58381.000000	87.234000
	09:27:26.54	-60748.000000	90.630000
	09:27:27.69	2732.000000	94.021500
	09:27:28.84	-65099.000000	97.462500
	09:27:29.98	-67462.000000	100.852500
	09:27:31.13	-69711.000000	104.227500
	09:27:32.39	-71999.000000	107.646000
	09:27:33.43	-74196.000000	111.928500
	09:27:34.59	-76566.000000	115.341000
	09:27:35.93	-78914.000000	118.018500
	09:27:37.13	-81344.000000	122.898000
	09:27:38.27	-83887.000000	126.331500
	09:27:39.51	-86440.000000	129.985500
	09:27:40.68	-88544.000000	133.467000
	09:27:41.83	-90811.000000	136.866000
	09:27:42.97	-93090.000000	140.275500
	09:27:44.13	-95603.000000	143.733000
	09:27:45.30	-97906.000000	147.214500
	09:27:46.46	-100106.000000	150.652500
	09:27:47.64	-102464.000000	154.158000
	09:27:48.80	-104620.000000	157.585500
	09:27:49.96	-106910.000000	161.047500
	09:27:51.11	-109316.000000	164.455500
	09:27:52.25	-111595.000000	167.871000
	09:27:53.41	-113970.000000	171.309000
	09:27:54.56	-116044.000000	174.724500
	09:27:55.70	-118429.000000	178.116000
	09:27:56.85	-120700.000000	181.530000
	09:27:58.00	-122945.000000	184.933500
	09:27:59.15	-125130.000000	188.353500
	09:28:00.31	-127421.000000	191.785500
	09:28:01.47	-129834.000000	195.247500
	09:28:02.62	-131996.000000	198.672000
	09:28:03.78	-134410.000000	202.105500
	09:28:04.93	-136576.000000	205.519500
	09:28:06.09	-138872.000000	208.960500
	09:28:07.23	-141143.000000	212.371500
	09:28:08.38	-143536.000000	215.785500
	09:29:22.82	-147431.000000	221.620500
	09:29:23.97	-149691.000000	225.025500
	09:29:25.14	-152005.000000	228.516000
	09:29:26.28	-154174.000000	231.918000
	09:29:27.44	-156486.000000	235.347000
	09:29:28.58	-158727.000000	238.743000
	09:29:29.76	-161151.000000	242.230500
	09:29:30.91	-163457.000000	245.667000
	09:29:32.05	-165585.000000	248.181000
	09:29:33.19	-168063.000000	251.569500
	09:29:34.35	-170258.000000	254.995500
	09:29:35.49	-172417.000000	258.447000
	09:29:36.64	-174683.000000	261.844500
	09:29:37.79	-176958.000000	265.243500
	09:29:38.94	-179242.000000	268.680000
	09:29:40.08	-181698.000000	272.028000
	09:29:41.23	-183880.000000	275.452500
	09:29:42.39	-186276.000000	278.878500
	09:29:43.54	-188476.000000	282.363000
	09:29:44.70	-190758.000000	285.781500
	09:29:45.86	-193052.000000	289.210500
	09:29:47.03	-195371.000000	293.550000
	09:29:48.19	-196973.000000	295.272000
	09:29:49.35	-199960.000000	299.604000
	09:29:50.51	-202159.000000	303.025500
	09:29:51.64	-204626.000000	306.427500
	09:29:52.79	-206662.000000	309.805500
	09:29:53.95	-208969.000000	313.248000
	09:29:55.22	-211597.000000	317.020500
	09:29:56.37	-213855.000000	320.416500
	09:29:57.55	-216086.000000	323.935500
	09:29:58.72	-218518.000000	327.414000
	09:29:59.88	-220835.000000	330.919500
	09:30:01.04	-223102.000000	334.303500
	09:30:02.20	-225411.000000	337.752000
	09:30:03.35	-227591.000000	341.184000
	09:30:04.51	-229985.000000	344.610000
	09:30:05.64	-232222.000000	347.994000
	09:30:06.79	-234501.000000	351.408000
	09:30:07.94	-236892.000000	354.840000
	09:30:09.10	-239073.000000	358.263000
	09:30:12.30	-138.000000	359.898000
	09:30:13.45	-2202.000000	3.111000
	09:30:14.61	10.000000	6.522000
	09:30:15.76	-6760.000000	9.948000
	09:30:16.91	-9064.000000	13.411500
	09:30:18.05	-11314.000000	16.773000
	09:30:19.22	-13616.000000	20.223000
	09:30:20.38	-15925.000000	23.670000
	09:30:21.53	-18330.000000	27.127500
	09:48:16.69	-128251.000000	192.013500
	09:48:17.86	-130575.000000	195.514500
	10:18:42.94	-47445.000000	70.168500
	10:18:44.16	-42861.000000	62.974500
	10:18:45.43	-37606.000000	55.411500
	10:18:46.70	-32557.000000	47.835000
	10:18:48.09	-27058.000000	39.603000
	10:18:49.12	-22992.000000	35.727000
	10:18:50.33	-18232.000000	28.093500
	10:18:51.56	-13328.000000	19.014000
	10:18:52.79	-8499.000000	11.731500
	10:18:54.03	-3517.000000	4.288500
	10:18:55.26	1332.000000	2.995500
	10:18:56.27	5337.000000	7.230000
	10:18:57.49	10159.000000	14.464500
	10:18:58.71	14977.000000	21.682500
	10:18:59.94	19860.000000	28.984500
	10:19:01.15	24650.000000	36.177000
	10:19:02.43	29490.000000	43.785000
	10:19:03.66	34577.000000	51.037500
	10:19:04.89	39255.000000	58.401000
	10:19:06.11	44301.000000	65.629500
	10:19:07.33	48913.000000	72.915000
	10:19:08.56	53773.000000	80.200500
	10:19:09.79	58865.000000	87.486000
	10:19:11.03	63971.000000	94.855500
	10:19:12.25	68413.000000	102.118500
	10:19:13.48	73272.000000	109.438500
	10:19:14.71	78339.000000	116.677500
	10:19:15.93	83227.000000	124.063500
	10:19:17.16	88042.000000	131.275500
	10:19:18.38	92656.000000	138.507000
	10:19:19.61	97746.000000	145.822500
	10:19:20.83	102633.000000	153.124500
